10:09:44, 10:17:53, SxS, 08:00, -0:00:08, 0:08:08
10:17:53, 10:27:13, SxS, 09:00, -0:00:28, 0:17:29
10:27:13, 10:36:00, SxS, 08:48, -0:00:27, 0:26:16
10:36:00, 10:38:08, EXP, 02:00, -0:00:35, 0:28:23
10:38:08, 10:40:14, EXP, 02:00, -0:00:40, 0:30:29
10:40:14, 10:42:06, EXP, 02:00, -0:00:32, 0:32:22
10:42:06, 10:49:05, EXP, 07:00, -0:00:31, 0:39:20
10:49:05, 10:56:14, EXP, 07:00, -0:00:41, 0:46:29
10:56:14, 11:03:31, EXP, 07:00, -0:00:58, 0:53:47
11:03:31, 11:10:32, EXP, 07:00, -0:00:58, 1:00:48
11:10:32, 11:17:25, EXP, 07:00, -0:00:50, 1:07:40
11:17:25, 11:24:21, EXP, 07:00, -0:00:47, 1:14:36
11:24:21, 11:30:59, EXP, 07:00, -0:00:26, 1:21:15
11:30:59, 11:38:04, EXP, 07:00, -0:00:31, 1:28:19
11:38:04, 11:44:41, EXP, 07:00, -0:00:08, 1:34:56
12:36:22, 12:49:40, SxS, 13:18, 0:00:00, 0:13:17
12:49:40, 12:52:42, SxS, 03:18, 0:00:16, 0:16:19
12:52:42, 12:56:28, EXP, 04:00, 0:00:29, 0:20:06
12:56:28, 12:57:34, EXP, 01:00, 0:00:23, 0:21:11
12:57:34, 12:58:37, EXP, 01:00, 0:00:21, 0:22:14
12:58:37, 13:02:31, EXP, 04:00, 0:00:27, 0:26:08
13:02:31, 13:06:17, EXP, 04:00, 0:00:40, 0:29:55
13:06:17, 13:10:16, EXP, 04:00, 0:00:41, 0:33:53
13:10:16, 13:14:14, EXP, 04:00, 0:00:43, 0:37:51
13:14:14, 13:18:17, EXP, 04:00, 0:00:40, 0:41:54
13:18:17, 13:22:10, EXP, 04:00, 0:00:47, 0:45:47
13:22:10, 13:23:16, EXP, 01:00, 0:00:40, 0:46:53
13:23:16, 13:28:01, SxS, 05:00, 0:00:56, 0:51:38
13:28:01, 13:35:57, U-O, 08:00, 0:01:00, 0:59:34
13:35:57, 13:44:16, SxS, 08:00, 0:00:41, 1:07:53
13:44:16, 13:54:55, SxS, 10:48, 0:00:50, 1:18:33
13:54:55, 14:04:44, SxS, 09:48, 0:00:48, 1:28:22
14:04:44, 14:15:01, SxS, 09:48, 0:00:20, 1:38:38
14:37:40, 14:50:02, SxS, 12:18, -0:00:03, 0:12:21
14:50:02, 14:51:56, EXP, 02:00, 0:00:03, 0:14:15
14:51:56, 14:53:09, EXP, 01:00, -0:00:10, 0:15:28
14:53:09, 14:54:13, EXP, 01:00, -0:00:14, 0:16:32
14:54:13, 14:55:05, EXP, 01:00, -0:00:06, 0:17:24
14:55:05, 14:58:45, EXP, 03:30, -0:00:17, 0:21:04
14:58:45, 15:03:07, EXP, 04:30, -0:00:09, 0:25:26
16:11:31, 16:18:23, U-O, 07:00, 0:00:08, 0:06:51
16:18:23, 16:20:09, EXP, 02:00, 0:00:22, 0:08:37
16:20:09, 16:22:00, EXP, 02:00, 0:00:30, 0:10:29
16:22:00, 16:25:52, SxS, 04:00, 0:00:38, 0:14:20
16:25:52, 16:29:49, SxS, 04:00, 0:00:40, 0:18:17
16:29:49, 16:34:35, SxS, 05:00, 0:00:53, 0:23:04
16:34:35, 16:39:30, SxS, 05:00, 0:00:58, 0:27:59
