18:02:19, 18:10:58, SxS, 08:48, 0:00:09, 0:08:38
18:10:58, 18:19:38, SxS, 08:48, 0:00:16, 0:17:18
18:29:12, 18:34:59, EXP, 06:00, 0:00:12, 0:05:47
18:34:59, 18:40:49, EXP, 06:00, 0:00:22, 0:11:36
18:40:49, 18:46:36, EXP, 06:00, 0:00:34, 0:17:24
18:46:36, 18:52:28, EXP, 06:00, 0:00:41, 0:23:16
18:52:28, 18:59:11, EXP, 06:00, -0:00:01, 0:29:59
18:59:11, 19:05:24, EXP, 06:00, -0:00:13, 0:36:12
19:05:24, 19:11:29, EXP, 06:00, -0:00:18, 0:42:17
19:11:29, 19:17:20, EXP, 06:00, -0:00:08, 0:48:08
19:17:20, 19:21:15, EXP, 04:00, -0:00:03, 0:52:02
21:11:34, 21:13:56, U-O, 02:30, 0:00:08, 0:02:21
21:13:56, 21:19:47, U-O, 05:48, 0:00:05, 0:08:12
21:19:47, 21:23:08, EXP, 03:30, 0:00:14, 0:11:33
21:23:08, 21:28:05, U-O, 05:00, 0:00:16, 0:16:30
21:28:05, 21:33:01, U-O, 05:00, 0:00:20, 0:21:26
21:33:01, 21:37:47, U-O, 05:00, 0:00:33, 0:26:13
21:37:47, 21:39:26, EXP, 01:30, 0:00:24, 0:27:52
21:39:26, 21:41:01, EXP, 01:30, 0:00:20, 0:29:26
21:41:01, 21:42:35, EXP, 01:30, 0:00:16, 0:31:01
21:42:35, 21:43:50, EXP, 01:30, 0:00:31, 0:32:16
21:43:50, 21:45:26, EXP, 01:30, 0:00:25, 0:33:51
21:45:26, 21:47:03, EXP, 01:30, 0:00:19, 0:35:28
21:47:03, 21:52:14, U-O, 05:00, 0:00:08, 0:40:40
21:52:14, 21:57:29, U-O, 05:00, -0:00:05, 0:45:54
21:57:29, 22:02:19, U-O, 05:00, 0:00:05, 0:50:44
22:02:19, 22:07:17, U-O, 05:00, 0:00:07, 0:55:42
22:07:17, 22:12:24, U-O, 05:00, -0:00:00, 1:00:50
22:12:24, 22:17:14, U-O, 05:00, 0:00:10, 1:05:39
22:17:14, 22:22:10, U-O, 05:00, 0:00:13, 1:10:35
22:22:10, 22:27:16, U-O, 05:00, 0:00:07, 1:15:41
22:27:16, 22:32:21, U-O, 05:00, 0:00:02, 1:20:47
22:32:21, 22:37:09, U-O, 05:00, 0:00:15, 1:25:35
22:37:09, 22:42:15, U-O, 05:00, 0:00:09, 1:30:40
22:42:15, 22:47:08, U-O, 05:00, 0:00:16, 1:35:33
