05:11:54, 05:19:39, EXP, 08:00, 0:00:14, 0:07:45
05:19:39, 05:25:24, EXP, 06:00, 0:00:29, 0:13:30
05:25:24, 05:33:16, EXP, 08:00, 0:00:37, 0:21:22
05:33:16, 05:43:03, EXP, 10:00, 0:00:50, 0:31:09
05:43:03, 05:49:01, EXP, 06:00, 0:00:51, 0:37:07
05:49:01, 05:49:01, EXP, 06:00, 0:00:51, 0:37:07
05:49:01, 05:52:47, EXP, 04:00, 0:01:05, 0:40:53
05:52:47, 05:58:37, EXP, 06:00, 0:01:15, 0:46:43
05:58:37, 06:08:34, EXP, 10:00, 0:01:18, 0:56:39
06:08:34, 06:12:38, U-O, 04:00, 0:01:13, 1:00:44
06:12:38, 06:16:40, U-O, 04:00, 0:01:12, 1:04:45
06:16:40, 06:20:36, U-O, 04:00, 0:01:16, 1:08:42
06:20:36, 06:24:37, U-O, 04:00, 0:01:15, 1:12:43
06:24:37, 06:28:42, U-O, 04:00, 0:01:10, 1:16:48
06:28:42, 06:32:43, U-O, 04:00, 0:01:09, 1:20:49
19:41:00, 19:49:47, SxS, 09:00, 0:00:13, 0:08:46
19:49:47, 20:04:53, SxS, 15:00, 0:00:06, 0:23:53
20:04:53, 20:10:29, SxS, 05:30, 0:00:01, 0:29:28
